Country_Region,Province_State,Admin2,2020_01_22,2020_01_23,2020_01_24,2020_01_25,2020_01_26,2020_01_27,2020_01_28,2020_01_29,2020_01_30,2020_01_31,2020_02_01,2020_02_02,2020_02_03,2020_02_04,2020_02_05,2020_02_06,2020_02_07,2020_02_08,2020_02_09,2020_02_10,2020_02_11,2020_02_12,2020_02_13,2020_02_14,2020_02_15,2020_02_16,2020_02_17,2020_02_18,2020_02_19,2020_02_20,2020_02_21,2020_02_22,2020_02_23,2020_02_24,2020_02_25,2020_02_26,2020_02_27,2020_02_28,2020_02_29,2020_03_01,2020_03_02,2020_03_03,2020_03_04,2020_03_05,2020_03_06,2020_03_07,2020_03_08,2020_03_09,2020_03_10,2020_03_11,2020_03_12,2020_03_13,2020_03_14,2020_03_15,2020_03_16,2020_03_17,2020_03_18,2020_03_19,2020_03_20,2020_03_21,2020_03_22,2020_03_23,2020_03_24,2020_03_25,2020_03_26,2020_03_27,2020_03_28,2020_03_29,2020_03_30
"Cote d'Ivoire","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,5,6,9,,14,14,25,73,80,96,101,101,165,168
Croatia,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,6,7,,9,10,,11,12,,,14,32,,,38,49,57,65,81,105,128,206,254,315,382,442,495,586,657,713,790
Cruise Ship,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,696,,,,,712,,,712,712,712,,,,,,,
Cruise Ship,Diamond Princess,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,712,,,,,,,
Cuba,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,,,,5,7,11,16,21,35,40,48,57,67,80,119,139,170
Curacao,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cyprus,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,14,,,26,,33,46,49,67,,84,95,116,124,132,146,162,179,214,230
Czech Republic,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,8,12,18,19,31,,41,,,,,,,,,,,,,,,,,,,,
Czechia,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,94,,189,253,298,396,464,694,833,995,1120,1236,1394,1654,1925,2279,2631,2817,3001
Denmark,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,,6,10,,23,,35,90,262,804,615,,836,875,932,1024,1115,1225,1335,1418,1395,1450,1591,1724,1877,2046,2201,2395,2577
